repo_name,time_stamp,pattern,reason_type,group_reason
01org/luv-yocto,2015-07-23 07:48:40,logging bb,2,project specific
1313e/PRISM,2019-01-18 02:23:37,six sys,2,project specific
255BITS/HyperGAN,2017-05-26 08:14:11,pillow scipy,1,project specific
Adapter-Hub/adapter-transformers,2019-12-06 18:57:38,unittest pytest,3,target library
aerospike/aerospike-admin,2020-10-20 19:51:53,distro platform,6,source library
afourmy/e-napalm,2019-08-08 20:46:13,ruamel pyyaml,3,target library
akkana/feedme,2013-08-21 20:28:00,beautifulsoup lxml,2,project specific
akretion/openerp-addons,2014-05-20 08:16:17,werkzeug urllib,3,target library
akvo/akvo-rsr,2012-11-07 14:36:30,json simplejson,1,project specific
alexwlchan/archive-pinboard,2013-03-31 19:09:17,requests urllib2,11,target library
AlfredoSequeida/fvid,2021-02-20 19:52:12,json pickle,10,source library
algorand/py-algorand-sdk,2020-02-12 21:35:25,pycryptodomex cryptography,3,target library
AllenInstitute/ipfx,2019-02-10 21:09:11,six urllib,2,project specific
alphacentauri82/scout,2021-06-19 22:38:07,apscheduler schedule,2,project specific
ambrosejcarr/seqc,2016-09-23 00:16:29,dill pickle,3,target library
amiv-eth/amivapi,2015-11-14 14:28:51,passlib hashlib,3,target library
amzn/amazon-ray,2020-06-09 04:29:46,platform os,2,project specific
amzn/amazon-ray,2020-06-09 04:29:46,platform os,5,target library
andreoliwa/nitpick,2019-06-17 00:10:07,ruamel pyyaml,4,target library
AnggaR96s/UserBot,2018-12-11 17:09:59,python-env config,2,project specific
ankitects/anki,2017-01-08 09:06:32,requests http,3,target library
apache/libcloud,2019-03-11 15:37:49,cryptography pycryptodome,10,source library
AppScale/appscale,2019-04-10 14:33:51,pytest unittest,2,project specific
AppScale/appscale-tools,2012-12-14 15:36:10,pyyaml json,3,target library
APrioriInvestments/typed_python,2018-08-17 19:01:33,json ujson,3,target library
ArduPilot/MAVProxy,2013-09-24 09:03:07,urllib2 httplib2,3,target library
ARTFL-Project/PhiloLogic4,2013-02-23 20:19:03,lxml beautifulsoup,5,target library
astrofrog/sedfitter,2012-12-22 07:33:00,astropy logger,3,target library
at4260/inbestment,2015-03-10 21:52:48,requests urllib,5,target library
atlasacademy/fgo-game-data-api,2020-05-20 15:26:02,orjson json,5,target library
AvinashReddy3108/PaperplaneExtended,2018-12-11 17:09:59,python-env config,2,project specific
awesto/django-shop,2011-02-17 14:00:55,algoliasearch-django unittest,5,target library
Axelrod-Python/Axelrod,2016-09-21 18:59:36,os sys,2,project specific
Azelphur/pyPushBullet,2014-05-16 23:27:49,requests urllib,4,target library
Azure/sonic-mgmt,2021-01-27 01:57:44,pickle json,3,target library
bcbio/bcbio-nextgen,2014-08-06 17:35:37,msgpack json,5,target library
bcgsc/mavis,2017-10-16 23:10:33,shortuuid uuid,4,target library
bcgsc/mavis,2018-05-31 04:13:07,futures multiprocessing,7,source library
benbusby/whoogle-search,2020-06-02 18:54:47,requests pycurl,3,target library
beringresearch/ivis,2019-10-01 12:46:42,tensorflow keras,2,project specific
BerkeleyAutomation/perception,2017-12-18 22:09:21,multiprocess multiprocessing,2,project specific
biocore/qiita,2014-08-04 17:58:38,mock mox,2,project specific
bioinform/somaticseq,2017-11-15 00:18:44,re regex,1,project specific
bitcraze/crazyflie-clients-python,2014-04-19 19:52:28,pysdl2 pygame,2,project specific
BondGraphTools/BondGraphTools,2019-05-22 00:53:01,ordered-set orderedset,2,project specific
BondGraphTools/BondGraphTools,2019-05-22 00:53:01,ordered-set orderedset,1,project specific
BradNeuberg/personal-photos-model,2015-07-18 06:53:55,plyvel leveldb,5,target library
braiden/python-ant-downloader,2014-03-01 14:46:36,requests urllib,3,target library
braiden/python-ant-downloader,2014-03-01 14:46:36,requests urllib,4,target library
braiden/python-ant-downloader,2014-03-01 14:46:36,requests urllib2,3,target library
braiden/python-ant-downloader,2014-03-01 14:46:36,requests urllib2,4,target library
brtmr/podfox,2016-02-24 18:26:09,requests pycurl,3,target library
bsavitzky/py4DSTEM,2018-10-10 21:52:58,pyqt5 pyside2,4,target library
bsavitzky/py4DSTEM,2018-10-10 21:52:58,python-qt5 pyside2,4,target library
bugsnag/bugsnag-python,2016-08-16 18:45:29,json simplejson,2,project specific
bvanrijn/rules-bot,2021-04-19 20:17:03,github3.py github,5,target library
caktus/django-timepiece,2015-01-16 13:15:41,six urllib,2,project specific
candlepin/subscription-manager,2012-07-20 19:19:11,simplejson json,2,project specific
canonical/cloud-init,2012-10-22 02:37:00,requests urllib,1,project specific
canonical/cloud-init,2012-10-22 02:37:00,requests urllib3,1,project specific
captainhammy/Houdini-Toolbox,2019-01-18 05:59:53,json pyyaml,1,project specific
CasperGN/ActiveDirectoryEnumeration,2020-05-22 06:16:41,pycryptodomex pycryptodome,7,source library
cdent/gabbi,2016-09-06 20:44:23,six mock,2,project specific
CellProfiling/HPA-Cell-Segmentation,2020-02-14 14:36:07,pillow scikit,3,target library
CenterForOpenScience/waterbutler,2018-03-12 19:12:02,google oauth2client,6,source library
ceph/calamari,2014-03-07 18:36:32,msgpack json,5,target library
certbot/certbot,2020-04-09 21:35:47,six urllib2,2,project specific
cfpb/cfgov-refresh,2020-05-27 16:47:55,csv unicodecsv,1,project specific
chadmv/blueprint,2013-05-12 05:39:01,json simplejson,1,project specific
chapmanb/bcbb,2014-10-26 10:30:57,six urllib,2,project specific
chdsbd/kodiak,2021-06-06 20:54:36,httpx requests,2,project specific
chdsbd/kodiak,2021-06-06 20:54:36,httpx requests,6,source library
choderalab/Protons,2019-03-19 20:52:39,pyyaml json,3,target library
chrisclark/PythonForDataScience,2012-11-09 02:46:24,pandas numpy,5,target library
cigroup-ol/windml,2017-10-08 21:19:08,six urllib,2,project specific
cigroup-ol/windml,2017-10-08 21:19:08,six urllib2,2,project specific
circus-tent/circus,2020-05-09 15:00:30,unittest mock,2,project specific
closeio/quotequail,2014-12-25 22:46:54,lxml beautifulsoup,4,target library
closeio/quotequail,2014-12-25 22:46:54,lxml beautifulsoup,5,target library
CloudBotIRC/CloudBot,2014-11-21 15:32:37,tweepy python-twitter,7,source library
CloudBotIRC/CloudBot,2014-11-21 15:32:37,tweepy twitter,7,source library
cloudera/ibis,2018-01-24 13:44:17,regex re,3,target library
conda/conda,2016-02-28 02:09:43,ruamel pyyaml,4,target library
cookiecutter/cookiecutter,2015-10-18 08:11:51,ruamel pyyaml,2,project specific
cookiecutter/cookiecutter,2015-10-18 08:11:51,ruamel pyyaml,6,source library
cov-lineages/pangolin,2020-07-16 13:06:09,joblib pickle,5,target library
cov-lineages/pangolin,2020-07-16 13:06:09,joblib pickle,3,target library
crate/crate-python,2014-04-11 12:02:37,urllib3 requests,5,target library
CroatianMeteorNetwork/RMS,2019-08-11 15:14:44,imageio scipy,6,source library
CubicERP/cubicerp,2014-01-29 12:13:16,werkzeug urllib,3,target library
CubicERP/cubicerp,2011-03-10 15:53:45,simplejson json,2,project specific
CubicERP/cubicerp,2011-03-10 15:53:45,simplejson json,5,target library
czpython/python-amazon-mws,2012-03-14 03:03:11,requests httplib,4,target library
dahlia/sqlalchemy-imageattach,2013-06-07 05:49:27,webob werkzeug,2,project specific
Dan6erbond/aPRAW,2020-06-14 16:26:06,pytest asyncio,10,source library
danielgtaylor/python-betterproto,2021-04-06 00:43:09,tomlkit toml,3,target library
danielhrisca/asammdf,2019-01-11 14:54:44,cchardet chardet,5,target library
danielhrisca/asammdf,2019-01-11 14:54:44,cchardet chardet2,5,target library
danielrichman/strict-rfc3339,2013-03-25 20:53:17,unittest nose,1,project specific
danielyule/hearthbreaker,2014-08-03 19:53:54,sphinx-rtd-theme cloud-sptheme,4,target library
danifus/pyzipper,2019-02-03 12:21:01,pycryptodomex pycryptodome,6,source library
darknessomi/musicbox,2018-05-21 04:54:49,pycryptodomex pycryptodome,2,project specific
dask/dask-gateway,2020-02-13 19:20:11,aiohttp tornado,3,target library
dask/dask-gateway,2020-02-13 19:20:11,aiohttp tornado,4,target library
dask/dask-gateway,2020-02-13 19:20:11,aiohttp tornado,5,target library
dask/dask-gateway,2020-02-13 19:20:11,aiohttp http,3,target library
dask/dask-gateway,2020-02-13 19:20:11,aiohttp http,4,target library
dask/dask-gateway,2020-02-13 19:20:11,aiohttp http,5,target library
DataDog/dd-agent,2012-10-23 21:25:16,httplib2 urllib2,3,target library
datadotworld/data.world-py,2017-01-24 17:27:44,six urllib,2,project specific
dataversioncontrol/dvc,2018-03-09 06:22:44,json pyyaml,5,target library
davidread/ckanext-xloader,2017-10-30 16:49:58,responses httpretty,4,target library
deathlyface/python-tradingview-ta,2020-07-28 07:37:03,requests selenium,4,target library
deathlyface/python-tradingview-ta,2020-07-28 07:37:03,requests selenium,5,target library
debrouwere/google-analytics,2015-03-11 08:27:16,werkzeug flask,1,project specific
deepset-ai/FARM,2019-07-26 16:05:18,pytorch-transformers pytorch-pretrained-bert,13,target library
Digital-Preservation-Finland/dpres-siptools,2019-03-29 16:08:58,click argparse,4,target library
dimagi/commcare-cloud,2018-06-06 16:58:47,passlib hashlib,2,project specific
django-otp/django-otp,2019-09-12 20:48:43,six algoliasearch-django,6,source library
django-otp/django-otp,2019-09-12 20:48:43,six django,6,source library
dmarx/VideoLinkBot,2013-05-11 16:04:17,lxml beautifulsoup,7,source library
dmarx/VideoLinkBot,2013-05-11 16:04:17,lxml beautifulsoup4,7,source library
dmlc/minpy,2016-08-22 04:36:03,six pickle,2,project specific
dnanexus/dx-toolkit,2013-05-04 00:22:24,urllib requests,3,target library
dnanexus/dx-toolkit,2013-05-04 00:22:24,urllib3 requests,3,target library
dnanexus/dx-toolkit,2013-05-04 00:22:24,urllib2 requests,3,target library
dnanexus/dx-toolkit,2013-05-04 00:22:24,http requests,3,target library
DocNow/twarc,2014-11-11 14:25:16,requests wget,1,project specific
doitintl/iris,2018-06-26 13:22:41,google oauth2client,6,source library
dpla/ingestion,2017-06-30 20:41:52,requests httplib,4,target library
dropbox/pynsot,2015-01-30 07:20:15,click argparse,3,target library
DualSpark/cloudformation-environmentbase,2015-09-16 02:33:37,pyyaml json,3,target library
echronos/echronos,2016-10-12 21:17:56,pycodestyle pep8,2,project specific
edgedb/edgedb,2018-05-03 19:21:31,click argparse,3,target library
EducationalTestingService/skll,2013-06-26 16:01:11,prettytable texttable,3,target library
edx/repo-tools,2016-09-19 17:20:50,backports csv,3,target library
ejeschke/ginga,2019-11-05 19:37:59,numpy scipy,6,source library
elastic/apm-agent-python,2014-09-17 23:21:37,pytest django,2,project specific
elyra-ai/elyra,2021-04-22 21:41:19,unittest mock,2,project specific
erezlife/html2docx,2019-03-26 13:39:56,pytest unittest,3,target library
errbotio/errbot,2019-10-07 01:10:21,sentry-sdk raven,6,source library
Externoak/A32NX-installer,2020-11-07 01:20:09,urllib requests,7,source library
Eyepea/API-Hour,2014-10-26 10:03:33,ujson json,5,target library
fazalmajid/temboz,2017-02-22 07:56:33,requests urllib2,3,target library
fedora-infra/python-fedora,2015-04-11 15:06:54,munch bunch,2,project specific
Felienne/hedy,2021-05-01 13:09:35,ruamel pyyaml,4,target library
Fogapod/KiwiBot,2018-03-10 20:24:18,regex re,10,source library
FORTH-ICS-INSPIRE/artemis,2020-10-17 00:03:24,json ujson,7,source library
Foxbud/rendascii,2018-05-23 03:43:03,json pyyaml,3,target library
fusionbox/django-widgy,2013-02-01 00:53:21,beautifulsoup lxml,4,target library
gddc/python_webservices_library,2014-07-17 15:30:01,simplejson json,3,target library
GeoNode/geonode,2011-05-09 19:45:32,unittest algoliasearch-django,7,source library
GeoNode/geonode,2011-05-09 19:45:32,unittest django,7,source library
Geotab/mygeotab-python,2019-05-31 21:48:15,arrow python-dateutil,2,project specific
getsentry/sentry,2018-10-18 19:56:09,sentry-sdk raven,13,target library
gijzelaerr/python-snap7,2020-11-02 07:37:49,pytest unittest,2,project specific
girder/girder,2019-05-09 17:06:30,passlib hashlib,4,target library
girder/girder,2019-05-09 17:06:30,passlib hashlib,10,source library
glennmatthews/cot,2015-03-03 18:49:51,requests urllib,3,target library
gnocchixyz/python-gnocchiclient,2016-04-12 13:15:32,tempest tempest-lib,6,source library
google/fuzzbench,2020-09-16 18:32:16,google oauth2client,7,source library
google/ipaddr-py,2012-02-13 01:14:34,ipaddress ipaddr,2,project specific
google/ipaddr-py,2012-02-13 01:14:34,py2-ipaddress ipaddr,2,project specific
google/openhtf,2016-04-19 00:31:42,requests httplib,11,target library
GoogleCloudPlatform/forseti-security,2018-04-17 20:31:03,google oauth2client,6,source library
GoogleCloudPlatform/python-docs-samples,2016-02-22 19:21:27,pymemcache python-memcached,2,project specific
GoogleCloudPlatform/python-docs-samples,2016-02-22 19:21:27,pymemcache python3-memcached,2,project specific
gramener/gramex,2019-03-19 11:14:48,six urllib,2,project specific
gramener/gramex,2019-03-19 11:14:48,six configparser,2,project specific
graphcool/python-graphql-client,2017-09-13 04:25:59,six urllib,2,project specific
gregmuellegger/django-autofixture,2014-07-22 22:39:54,algoliasearch-django six,1,project specific
gregmuellegger/django-autofixture,2014-07-22 22:39:54,django six,1,project specific
gregversteeg/corex_topic,2020-05-19 13:05:14,joblib scikit,6,source library
gregversteeg/corex_topic,2020-05-19 13:05:14,joblib sklearn,6,source library
gretelai/gretel-synthetics,2020-03-23 19:53:16,path os,4,target library
grnet/ganetimgr,2017-08-09 14:58:56,json simplejson,6,source library
grnet/synnefo,2016-10-21 09:12:08,requests-oauthlib python-oauth2,3,target library
grnet/synnefo,2016-10-21 09:12:08,requests-oauthlib requests-oauth2,3,target library
grnet/synnefo,2016-10-21 09:12:08,requests-oauthlib oauth2,3,target library
grnet/synnefo,2016-10-21 09:12:08,requests oauth2,3,target library
grow/grow,2017-05-13 08:21:54,requests urllib,2,project specific
GrumpyNounours/PySeidon,2014-08-07 18:43:40,scipy netcdf4,5,target library
gsamokovarov/frames.py,2014-12-16 22:10:32,pytest attest,7,source library
gsamokovarov/frames.py,2014-12-16 22:10:32,pytest attest,11,target library
hammerlab/mhcflurry,2017-11-13 18:46:39,pyyaml json,3,target library
hans/glove.py,2014-09-13 19:20:37,msgpack pickle,5,target library
HappyTramp/minishell_test,2020-09-13 07:50:52,re regex,2,project specific
HazyResearch/snorkel,2020-04-06 19:03:08,torch tensorboard-pytorch,1,project specific
HazyResearch/snorkel,2020-04-06 19:03:08,torch tensorboardx,1,project specific
hclivess/Bismuth,2018-06-28 21:23:30,pycryptodomex pycryptodome,2,project specific
henrysky/astroNN,2018-03-04 20:50:29,math numpy,1,project specific
heywbj/django-rest-framework-recursive,2015-06-03 18:08:08,importlib algoliasearch-django,6,source library
heywbj/django-rest-framework-recursive,2015-06-03 18:08:08,importlib django,6,source library
hibtc/cpymad,2020-09-04 09:18:11,argparse core-parser-app,1,project specific
hiviah/https-everywhere-checker,2012-07-05 12:24:11,regex re,7,source library
home-assistant-ecosystem/home-assistant-cli,2019-02-07 14:46:15,ruamel pyyaml,1,project specific
home-assistant-ecosystem/home-assistant-cli,2019-02-07 14:46:15,ruamel pyyaml,2,project specific
homebysix/pre-commit-macadmin,2019-02-28 07:27:32,ruamel pyyaml,10,source library
homeworkprod/byceps,2019-11-28 22:03:41,dataclasses attr,3,target library
hovel/imagestore,2019-02-02 19:45:19,cchardet chardet,5,target library
hovel/imagestore,2019-02-02 19:45:19,cchardet chardet2,5,target library
hsoft/moneyguru,2010-07-12 12:35:37,py.test nose,2,project specific
hsoft/moneyguru,2010-07-12 12:35:37,py nose,2,project specific
hyperspy/hyperspy,2011-08-31 14:13:31,scipy numpy,5,target library
hyperspy/hyperspy,2018-11-03 15:54:07,imageio scipy,6,source library
IBM/lale,2020-06-10 21:00:44,pytest unittest,3,target library
IdentityPython/pysaml2,2017-01-12 20:22:02,cryptography pycryptodomex,1,project specific
IdentityPython/pysaml2,2016-09-23 06:12:58,six future,2,project specific
idiap/pkwrap,2021-03-12 11:06:42,pysoundfile librosa,5,target library
idiap/pkwrap,2021-03-12 11:06:42,soundfile librosa,5,target library
ikreymer/pywb,2016-04-27 17:16:54,urllib3 requests,3,target library
ikreymer/webarchiveplayer,2015-01-12 01:45:42,waitress gunicorn,2,project specific
IMGIITRoorkee/omniport-backend,2018-05-24 20:29:10,pyyaml json,3,target library
IMGIITRoorkee/omniport-backend,2018-05-24 20:29:10,pyyaml json,4,target library
internetarchive/openlibrary,2020-12-17 19:13:31,json simplejson,1,project specific
invesalius/invesalius3,2019-06-11 17:17:49,imageio scipy,6,source library
invisibleroads/pyramid-examples,2011-12-11 16:16:26,ipdb pdb,4,target library
invisibleroads/pyramid-examples,2011-12-11 16:16:26,ipdb pdbpp,4,target library
iotaledger/iota.py,2020-02-05 11:54:19,httpx requests,3,target library
ipython/ipython,2011-10-14 18:29:17,json zmq,7,source library
itzkvn/python-http-monitoring,2021-01-08 02:36:56,httpx aiohttp,7,source library
iver56/automatic-video-colorization,2019-06-24 21:06:15,pillow opencv,7,source library
jakubcerveny/gilbert,2021-05-05 21:56:59,argparse sys,3,target library
jaraco/keyrings.alt,2020-09-30 18:24:18,pycryptodomex pycryptodome,6,source library
jaraco/wolframalpha,2014-06-08 10:02:14,six urllib,2,project specific
jaraco/wolframalpha,2014-06-08 10:02:14,six urllib2,2,project specific
jensl/critic,2013-09-09 08:11:30,passlib bcrypt,3,target library
jensl/critic,2013-09-09 08:11:30,passlib python-bcrypt,3,target library
jhfjhfj1/autokeras,2018-10-23 20:26:49,imageio scipy,6,source library
jjgomera/pychemqt,2016-05-05 21:19:56,json pickle,4,target library
jjjake/internetarchive,2019-12-06 21:31:39,tqdm clint,6,source library
joestump/python-oauth2,2010-12-21 17:51:20,mock mox,4,target library
joestump/python-oauth2,2010-12-21 17:51:20,mock mox,7,source library
JohannesBuchner/BXA,2019-05-21 14:06:44,tqdm progressbar,2,project specific
johnpaulett/python-hl7,2011-07-13 01:08:10,unittest nose,1,project specific
jorgecarleitao/public-contracts,2014-05-09 17:25:47,requests mechanize,2,project specific
jpsenior/threataggregator,2016-02-04 23:13:53,requests urllib,2,project specific
jsalt18-sentence-repl/jiant,2018-07-26 19:02:28,argparse sys,3,target library
juergh/dwarf,2017-02-15 11:25:28,cryptography m2crypto,4,target library
juergh/dwarf,2017-02-15 11:25:28,cryptography m2crypto,13,target library
jupyter/jupyter_client,2011-10-14 18:29:17,json zmq,7,source library
jupyter/qtconsole,2011-10-14 18:29:17,json zmq,7,source library
jupyterhub/binderhub,2017-09-20 20:06:57,ruamel pyyaml,4,target library
Karaage-Cluster/python-tldap,2014-06-20 01:38:44,python3-ldap ldap,2,project specific
kaushaltrivedi/fast-bert,2019-07-20 17:38:08,pytorch-transformers pytorch-pretrained-bert,13,target library
kennethjiang/OctoPrint-Anywhere,2017-05-05 03:39:46,urllib2 requests,5,target library
kevin1024/fabric_remote,2014-03-23 02:41:57,shortuuid uuid,4,target library
KevinMusgrave/pytorch-metric-learning,2021-02-04 06:01:33,torch numpy,1,project specific
kimchi-project/kimchi,2020-03-28 19:28:56,ipaddress ipaddr,6,source library
kimchi-project/kimchi,2020-03-28 19:28:56,py2-ipaddress ipaddr,6,source library
kivy-garden/garden.mapview,2014-08-18 10:10:02,requests urllib2,5,target library
kivy-garden/garden.mapview,2014-08-18 10:10:02,requests urllib2,3,target library
Kixeye/untar-to-s3,2020-10-14 00:59:07,multiprocessing gevent,2,project specific
klen/pylama,2016-10-19 13:49:57,pycodestyle pep8,6,source library
klipstein/dojango,2013-03-11 12:54:48,json algoliasearch-django,1,project specific
klipstein/dojango,2013-03-11 12:54:48,json algoliasearch-django,6,source library
klipstein/dojango,2013-03-11 12:54:48,json django,1,project specific
klipstein/dojango,2013-03-11 12:54:48,json django,6,source library
Koed00/django-whoshere,2015-05-13 12:43:03,requests urllib,3,target library
Koed00/django-whoshere,2015-05-13 12:43:03,requests urllib2,3,target library
kolypto/py-flask-jsontools,2016-09-02 18:16:33,flask json,2,project specific
kshcherban/gdrive_uploader,2021-06-23 08:38:27,google oauth2client,6,source library
ktbs/ktbs,2018-06-21 14:36:41,waitress wsgiref,3,target library
kvos/CoastSat,2021-03-12 02:03:25,joblib scikit,6,source library
Labber-software/Drivers,2019-01-18 14:44:28,pickle dill,1,project specific
lablup/backend.ai-manager,2017-08-23 06:40:39,async-timeout async,2,project specific
landlab/landlab,2020-04-27 15:48:05,xarray netcdf4,1,project specific
lektor/lektor,2015-12-25 11:44:30,requests urllib,3,target library
liqd/adhocracy,2013-03-04 01:07:20,json simplejson,1,project specific
LogicalDash/LiSE,2018-11-18 22:52:59,msgpack u-msgpack-python,5,target library
LogicalDash/LiSE,2018-11-18 22:52:59,msgpack umsgpack,5,target library
lschmelzeisen/nasty,2019-08-18 18:47:57,toml json,4,target library
lucianopaz/compress_pickle,2019-05-14 11:53:13,os path,2,project specific
luigigubello/My-Twitter-World,2019-10-16 09:40:18,click argparse,5,target library
lukassnoek/skbold,2021-02-08 10:57:10,joblib scikit,6,source library
lukassnoek/skbold,2021-02-08 10:57:10,joblib sklearn,6,source library
LuminosoInsight/luminoso-api-client-python,2014-10-06 21:36:40,tempfile os,2,project specific
machinezone/cobra,2019-10-18 19:18:57,python-rapidjson json,5,target library
magenta/magenta,2020-06-25 16:49:05,skimage scipy,6,source library
mailpile/Mailpile,2019-07-19 09:22:57,fasteners lockfile,1,project specific
malwaredllc/byob,2018-10-14 16:42:13,pycryptodome pycryptodomex,7,source library
Mangopay/mangopay2-python-sdk,2016-07-10 05:31:29,fasteners lockfile,6,source library
marl/l3embedding,2018-09-05 19:01:34,multiprocessing joblib,7,source library
martinp/pysnap,2016-02-03 01:07:45,cryptography pycryptodome,6,source library
materialsproject/pymatgen,2016-07-19 13:30:19,invoke fabric,2,project specific
materialsproject/pymatgen,2016-07-19 13:30:19,invoke fabric3,2,project specific
mathiasertl/django-ca,2019-09-14 10:31:09,six algoliasearch-django,6,source library
mathiasertl/django-ca,2019-09-14 10:31:09,six django,6,source library
mathics/Mathics,2020-09-12 01:56:22,pydot pydotplus,13,target library
mathics/Mathics,2020-09-12 01:56:22,pydot pydotplus,11,target library
mathics/Mathics,2020-09-12 01:56:22,pydot2 pydotplus,13,target library
mathics/Mathics,2020-09-12 01:56:22,pydot2 pydotplus,11,target library
matrix-org/synapse,2016-06-22 15:51:59,python3-ldap ldap,1,project specific
mcardillo55/cbpro-trader,2017-12-03 01:05:16,pyyaml config,4,target library
meanmedianmoge/zoia_lib,2020-07-29 19:38:52,pyqt5 pyside2,3,target library
meanmedianmoge/zoia_lib,2020-07-29 19:38:52,python-qt5 pyside2,2,project specific
mediadrop/mediadrop,2012-11-20 13:33:32,unittest py,11,target library
mediadrop/mediadrop,2012-11-20 13:33:32,unittest py.test,11,target library
mendix/m2ee-tools,2014-08-08 22:08:24,json pprint,4,target library
mesosphere/marathon-lb,2016-05-04 13:27:15,six urllib,2,project specific
metajack/notify-webhook,2020-05-29 18:23:31,json simplejson,1,project specific
metakgp/gyft,2018-10-09 21:44:46,sys os,2,project specific
mezz64/pyEight,2019-02-18 04:06:47,async-timeout async,2,project specific
mgckind/easyaccess,2016-04-27 22:39:15,requests urllib2,2,project specific
micahflee/semiphemeral,2019-05-13 00:28:02,tweepy python-twitter,3,target library
